波数,光学的厚さfor,光学的厚さpython,誤差
4974.645,42.89986741,42.41740907,-1.137406444
4974.646,47.08986196,46.56026306,-1.137448246
4974.647,51.94914791,51.36501109,-1.137227092
4974.648,57.63579574,56.98805751,-1.136621012
4974.649,64.36148794,63.63881571,-1.135584043
4974.65,72.41831205,71.60613317,-1.134230888
4974.651,82.22592453,81.30494631,-1.132745625
4974.652,94.42137303,93.36561015,-1.130783465
4974.653,110.0434286,108.8180064,-1.126120825
4974.654,130.9308411,129.4896682,-1.112963637
4974.655,160.5935584,158.875922,-1.081118112
4974.656,206.0607307,203.9870336,-1.016582804
4974.657,281.5369995,279.0143398,-0.904132646
4974.658,414.9099174,411.8707662,-0.737889496
4974.659,657.6577717,654.1415322,-0.537534968
4974.66,1096.421329,1092.690519,-0.341433407
4974.661,1859.579616,1856.295064,-0.176941249
4974.662,3105.93112,3104.421033,-0.048643108
4974.663,4980.48714,4982.896928,0.048361193
4974.664,7532.725073,7541.441882,0.115585444
4974.665,10618.7721,10635.36559,0.156021772
4974.666,13841.60145,13867.08469,0.183767848
4974.667,16598.47574,16632.49527,0.20453657
4974.668,18256.00695,18295.03999,0.213353116
4974.669,18387.64074,18427.02411,0.213726121
4974.67,16957.64528,16992.73049,0.206471881
4974.671,14337.60632,14364.5001,0.187223933
4974.672,11143.85022,11161.73083,0.160195694
4974.673,7999.667002,8009.505705,0.122837824
4974.674,5343.250281,5346.475622,0.060326477
4974.675,3357.945283,3356.849782,-0.032634792
4974.676,2018.927402,2015.799381,-0.155175198
4974.677,1189.824892,1186.102258,-0.313854364
4974.678,709.5437906,705.9677067,-0.50655064
4974.679,443.0230138,439.9036056,-0.70911176
4974.68,296.9408727,294.3425016,-0.882771303
4974.681,214.9282388,212.7927998,-1.003529738
4974.682,166.1086043,164.3430507,-1.074309874
4974.683,134.6609905,133.1826594,-1.110002653
4974.684,112.7529164,111.4984302,-1.12511558
4974.685,96.49482,95.41613147,-1.130509607
4974.686,83.8705915,82.93128853,-1.13262797
4974.687,73.7558795,72.92878024,-1.13411915
4974.688,65.46940872,64.73435391,-1.13549416
4974.689,58.56664355,57.90846438,-1.136585433
4974.69,52.74033603,52.14729051,-1.137250884
4974.691,47.76894775,47.23167941,-1.13751691
4974.692,43.48768072,42.9985709,-1.1375025
4974.693,39.77097321,39.32376553,-1.137245308
4974.694,36.52122774,36.11089226,-1.136320536
4974.695,33.66208215,33.28401802,-1.135872854
4974.696,31.13236318,30.78252727,-1.136475596
4974.697,28.88214824,28.55747702,-1.136904398
4974.698,26.87104298,26.56894883,-1.13701959
4974.699,25.06596929,24.78408916,-1.137343123
4974.7,23.43928117,23.17563739,-1.137590193
4974.701,21.96794055,21.72080503,-1.137782502
4974.702,20.6325555,20.4004121,-1.13793488
4974.703,19.41670125,19.1982145,-1.138057655
4974.704,18.30638585,18.10037496,-1.138158127
4974.705,17.289626,17.09504312,-1.138241536
4974.706,16.35610752,16.17201953,-1.138311696
4974.707,15.49691153,15.32248474,-1.138371418
4974.708,14.70429206,14.53877928,-1.138422797
4974.709,13.97149423,13.81422379,-1.138467413
4974.71,13.29260474,13.14297116,-1.138506477
4974.711,12.66242822,12.51988421,-1.138540934
4974.712,12.07638442,11.94043404,-1.138571521
4974.713,11.53042228,11.40061501,-1.138598828
4974.714,11.02094779,10.89687345,-1.138623334
4974.715,10.54476315,10.42604744,-1.138645426
4974.716,10.09901523,9.98531589,-1.138665422
4974.717,9.681151669,9.57215511,-1.138683585
4974.718,9.288883471,9.184301814,-1.138700132
4974.719,8.920152882,8.81972137,-1.138715247
4974.72,8.573105788,8.476580501,-1.138729082
4974.721,8.246067901,8.153223737,-1.138741767
4974.722,7.937524134,7.848153024,-1.138753415
4974.723,7.646100709,7.560010028,-1.138764121
4974.724,7.370549567,7.287560722,-1.138773968
4974.725,7.109734758,7.029681933,-1.13878303
4974.726,6.862620518,6.785349557,-1.138791155
4974.727,6.628260829,6.55362822,-1.138798332
4974.728,6.405790193,6.333662183,-1.138804187
4974.729,6.194415612,6.124667312,-1.138809605
4974.73,5.993409068,5.925923988,-1.138811086
4974.731,5.802101897,5.73677082,-1.138812734
4974.732,5.619877744,5.556599066,-1.138802303
4974.733,5.446168815,5.384847666,-1.138772201
4974.734,5.28044652,5.220998824,-1.138626886
4974.735,5.122236226,5.064574047,-1.138539558
4974.736,4.971074733,4.915130615,-1.138202058
4974.737,4.826564281,4.772258411,-1.137949075
4974.738,4.688311625,4.635577072,-1.13760492
4974.739,4.555923998,4.504733433,-1.136372802
4974.74,4.429063191,4.379399219,-1.134036192
4974.741,4.307581746,4.259268965,-1.134297481
4974.742,4.191074178,4.144058138,-1.134541031
4974.743,4.079272329,4.033501435,-1.134768246
4974.744,3.971925905,3.927351239,-1.1349804
4974.745,3.868801076,3.825376222,-1.13517865
4974.746,3.769679181,3.727360074,-1.135364052
4974.747,3.674355566,3.633100347,-1.135537568
4974.748,3.582638519,3.542407396,-1.135700075
4974.749,3.494330155,3.455103424,-1.135327272
4974.75,3.409299393,3.371021598,-1.135495387
4974.751,3.327368301,3.290005252,-1.13565318
4974.752,3.248388031,3.211907145,-1.135801377
4974.753,3.17221858,3.136588794,-1.135940642
4974.754,3.098728172,3.063919849,-1.136071587
4974.755,3.027792677,2.993777533,-1.136194773
4974.756,2.959295088,2.926046113,-1.136310718
4974.757,2.893125037,2.860616423,-1.136419898
4974.758,2.829178345,2.797385423,-1.136522752
4974.759,2.767356609,2.736255787,-1.136619686
4974.76,2.707566824,2.677135528,-1.136711075
4974.761,2.649721032,2.619937653,-1.136797265
4974.762,2.593735994,2.564579835,-1.136878577
4974.763,2.539532889,2.510984122,-1.136955305
4974.764,2.48703704,2.459076657,-1.137027727
4974.765,2.436177649,2.408787421,-1.137096095
4974.766,2.386887563,2.360050003,-1.137160646
4974.767,2.339103048,2.312801371,-1.137221599
4974.768,2.292763583,2.266981673,-1.137279157
4974.769,2.247811669,2.222534045,-1.137333509
4974.77,2.204192648,2.179404433,-1.13738483
4974.771,2.161854537,2.137541429,-1.137433282
4974.772,2.120747873,2.09689612,-1.137479017
4974.773,2.08082557,2.057421939,-1.137522174
4974.774,2.042042778,2.019074536,-1.137562883
4974.775,2.004356765,1.981811651,-1.137601262
4974.776,1.967726794,1.945593,-1.13763744
4974.777,1.932114013,1.910380162,-1.137671494
4974.778,1.897481354,1.876136483,-1.137703525
4974.779,1.863793439,1.842826977,-1.137733619
4974.78,1.831016486,1.810418238,-1.137761852
4974.781,1.799118229,1.778878359,-1.137788284
4974.782,1.768067841,1.748176858,-1.137812971
4974.783,1.737835863,1.718284603,-1.137835955
4974.784,1.708394139,1.689173753,-1.13785727
4974.785,1.679715763,1.660817701,-1.13787693
4974.786,1.651775035,1.633191038,-1.137894927
4974.787,1.624547449,1.606269528,-1.137911186
4974.788,1.598009714,1.580030148,-1.137925501
4974.789,1.57213988,1.554451198,-1.137937404
4974.79,1.546917633,1.529512607,-1.137945931
4974.791,1.5223249,1.505196529,-1.137949106
4974.792,1.498346906,1.481488415,-1.137942812
4974.793,1.474973847,1.45837868,-1.13791888
4974.794,1.452203061,1.43586489,-1.137862705
4974.795,1.430041188,1.413953916,-1.137750834
4974.796,1.408505014,1.392662794,-1.13754889
4974.797,1.387619009,1.372016276,-1.137211961
4974.798,1.367407512,1.352038944,-1.136695605
4974.799,1.347880203,1.332740991,-1.135945507
4974.8,1.329014594,1.314099805,-1.134981476
4974.801,1.310738811,1.296043538,-1.133856433
4974.802,1.292926144,1.278445723,-1.132658229
4974.803,1.275409084,1.261138751,-1.131543507
4974.804,1.258012847,1.243947342,-1.130715541
4974.805,1.24059922,1.226733098,-1.130329236
4974.806,1.22310545,1.209433418,-1.130449381
4974.807,1.205561221,1.192078084,-1.131061562
4974.808,1.188075049,1.174775994,-1.132050283
4974.809,1.170797071,1.157678035,-1.133219675
4974.81,1.153874829,1.140932174,-1.134393016
4974.811,1.137417855,1.124647962,-1.135456959
4974.812,1.121481116,1.108880569,-1.136330468
4974.813,1.106068501,1.093634286,-1.136962743
4974.814,1.091149269,1.07887817,-1.137394379
4974.815,1.076675808,1.064564615,-1.137666351
4974.816,1.062598728,1.050644221,-1.137826361
4974.817,1.048875374,1.037074357,-1.137914194
4974.818,1.035472755,1.023822082,-1.137958807
4974.819,1.022366912,1.010863495,-1.137979326
4974.82,1.009540775,0.998181598,-1.137987047
4974.821,0.996981894,0.985764019,-1.137987917
4974.822,0.984680663,0.973601228,-1.137984897
4974.823,0.972629135,0.961685353,-1.137979489
4974.824,0.960820324,0.950009478,-1.137972475
4974.825,0.949247827,0.938567267,-1.13796425
4974.826,0.937905628,0.92735277,-1.137955004
4974.827,0.926787999,0.916360324,-1.137944831
4974.828,0.915889453,0.905584501,-1.137933785
4974.829,0.905204711,0.895020082,-1.13792191
4974.83,0.894728687,0.884662036,-1.137909239
4974.831,0.884456473,0.874505511,-1.137895796
4974.832,0.874383328,0.86454582,-1.137881612
4974.833,0.864504674,0.854778435,-1.137866693
4974.834,0.854816084,0.845198979,-1.137851047
4974.835,0.845313279,0.83580322,-1.137834654
4974.836,0.83599212,0.826587067,-1.137817576
4974.837,0.826848604,0.817546561,-1.137799771
4974.838,0.817878859,0.808677874,-1.137781235
4974.839,0.809079139,0.799977302,-1.137761963
4974.84,0.800445821,0.791441262,-1.13774195
4974.841,0.791975398,0.783066287,-1.137721187
4974.842,0.78366448,0.774849025,-1.137699664
4974.843,0.775509785,0.766786231,-1.137677369
4974.844,0.76750814,0.758874768,-1.137654291
4974.845,0.759656476,0.751111602,-1.137630416
4974.846,0.751951825,0.743493797,-1.137605729
4974.847,0.744391318,0.736018517,-1.137580214
4974.848,0.736972182,0.72868302,-1.137553854
4974.849,0.729691734,0.721484654,-1.13752663
4974.85,0.722547387,0.714420861,-1.137498523
4974.851,0.715536639,0.707489165,-1.137469512
4974.852,0.708657075,0.700687181,-1.137439576
4974.853,0.701906364,0.694012604,-1.137408691
4974.854,0.695282259,0.687463212,-1.137376832
4974.855,0.688782593,0.681036861,-1.137343975
4974.856,0.682405278,0.674731489,-1.137310092
4974.857,0.676148303,0.668545106,-1.137275155
4974.858,0.670009735,0.662475801,-1.137239133
4974.859,0.663987714,0.656521736,-1.137201996
4974.86,0.658080455,0.650681145,-1.13716371
4974.861,0.652286244,0.644952335,-1.13712424
4974.862,0.646603441,0.639333683,-1.137083552
4974.863,0.641030475,0.633823636,-1.137041605
4974.864,0.635565845,0.628420712,-1.136998361
4974.865,0.630208121,0.623123495,-1.136953777
4974.866,0.62495594,0.617930638,-1.136907809
4974.867,0.619808009,0.612840863,-1.13686041
4974.868,0.614763101,0.607852959,-1.136811532
4974.869,0.60982006,0.60296578,-1.136761124
4974.87,0.604977796,0.59817825,-1.136709132
4974.871,0.600235287,0.593489358,-1.136655499
4974.872,0.59559158,0.588898163,-1.136600165
4974.873,0.59104579,0.584403789,-1.136543069
4974.874,0.5865971,0.58000543,-1.136484143
4974.875,0.582244765,0.575702349,-1.136423318
4974.876,0.577988108,0.571493877,-1.136360521
4974.877,0.573826524,0.567379416,-1.136295674
4974.878,0.569759481,0.563358441,-1.136228696
4974.879,0.565786521,0.559430498,-1.136159502
4974.88,0.561907258,0.555595208,-1.136087998
4974.881,0.558121386,0.551852267,-1.136014089
4974.882,0.554428676,0.548201449,-1.135937767
4974.883,0.550828979,0.544642609,-1.135858742
4974.884,0.54732223,0.541175681,-1.135776987
4974.885,0.543908447,0.537800686,-1.135692381
4974.886,0.54058774,0.534517731,-1.135604775
4974.887,0.537360306,0.531327013,-1.135514067
4974.888,0.534226438,0.528228822,-1.135420094
4974.889,0.531186528,0.525223546,-1.135322697
4974.89,0.52824107,0.522311674,-1.13522171
4974.891,0.525390663,0.519493801,-1.13511697
4974.892,0.522636019,0.51677063,-1.135008262
4974.893,0.519977967,0.514142982,-1.134895387
4974.894,0.517417458,0.511611799,-1.134778129
4974.895,0.51495557,0.509178148,-1.134656254
4974.896,0.512593519,0.506843233,-1.134529508
4974.897,0.510332664,0.504608398,-1.134397619
4974.898,0.508174513,0.502475138,-1.134260294
4974.899,0.506120737,0.500445103,-1.134117217
